"Waterbody","Pollutant","Pollutant Group","Test Fraction ","Current Categorization in 2020 IR","Impaired Use Class in 2020 IR","# Samples 1990-2021","# Detects 1990-2021","# Exceedances 1990-2021","# of Samples Within Last 10 Years (2011-2021)","# of Exceedances Within Last 10 Years (2011 - 2021)","# of Samples Within Last 5 Years (2016 - 2021)","# Samples Since Last Exceedance","Class C CCC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CCC","Class C CMC Criterion (ug/L)","Range of Ratios Between Detection Limit and Criterion for CMC","Was Last Exceedance Within Current 5-year Assessment Period (2016 - 2021)?","Reevaluation Categorization Decision for Class C","Decision Logic Case #"
"ANACOSTIA LOWER","ARSENIC","ARSENIC","DISSOLVED","4a","24","52","40","0","52","0","40","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"ANACOSTIA UPPER","ARSENIC","ARSENIC","DISSOLVED","4a","14","56","44","0","56","0","37","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"BROAD BRANCH","ARSENIC","ARSENIC","DISSOLVED","Not Listed","13","13","11","0","13","0","13","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"DUMBARTON OAKS","ARSENIC","ARSENIC","DISSOLVED","3","13","13","6","0","13","0","13","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","10"
"FENWICK BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","19","19","13","0","19","0","16","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"FORT STANTON TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","19","20","14","0","20","0","16","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"HICKEY RUN","ARSENIC","ARSENIC","DISSOLVED","3","1","1","1","0","1","0","1","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","10"
"KINGMAN LAKE","ARSENIC","ARSENIC","DISSOLVED","4a","13","25","21","0","25","0","15","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"KLINGLE VALLEY","ARSENIC","ARSENIC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"LUZON BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","13","13","6","0","13","0","13","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","10"
"NASH RUN","ARSENIC","ARSENIC","DISSOLVED","4a","6","7","6","0","7","0","3","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"NORMANSTONE CREEK","ARSENIC","ARSENIC","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"OXON RUN","ARSENIC","ARSENIC","DISSOLVED","3","1","1","1","0","1","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"PINEHURST BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"PINEY BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","1","1","0","0","1","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"POPE BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","1","1","0","0","1","0","1","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","10"
"PORTAL BRANCH","ARSENIC","ARSENIC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","13","13","10","0","13","0","13","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","ARSENIC","ARSENIC","DISSOLVED","Not Listed","13","13","8","0","13","0","13","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","13","13","9","0","13","0","13","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","13","13","6","0","13","0","13","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"ROCK CREEK UPPER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","ARSENIC","ARSENIC","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","6","6","6","0","6","0","3","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"TIDAL BASIN","ARSENIC","ARSENIC","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","ARSENIC","ARSENIC","DISSOLVED","Not Listed","4","16","12","0","16","0","12","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"WATTS BRANCH LOWER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","3","3","2","0","3","0","3","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"WATTS BRANCH UPPER","ARSENIC","ARSENIC","DISSOLVED","Not Listed","13","13","11","0","13","0","13","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"BATTERY KEMBLE CREEK","ARSENIC","ARSENIC","DISSOLVED","3","1","1","1","0","1","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 3","8"
"C&O CANAL","ARSENIC","ARSENIC","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","6","6","6","0","6","0","3","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"FORT DAVIS TRIBUTARY","ARSENIC","ARSENIC","DISSOLVED","4a","6","6","5","0","6","0","3","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Remove from Category 4a","3"
"FOUNDRY BRANCH","ARSENIC","ARSENIC","DISSOLVED","Not Listed","1","2","2","0","2","0","0","No exceedance","150","0.0019 - 0.00653","340","0.000853 - 0.00288","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","COPPER","COPPER","DISSOLVED","4a","24","52","52","0","52","0","40","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 4a","3"
"ANACOSTIA UPPER","COPPER","COPPER","DISSOLVED","4a","14","56","56","1","56","1","37","21","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","Yes","Move to Category 3","6"
"BROAD BRANCH","COPPER","COPPER","DISSOLVED","Not Listed","13","13","13","0","13","0","13","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","COPPER","COPPER","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"DUMBARTON OAKS","COPPER","COPPER","DISSOLVED","3","13","13","11","1","13","1","13","10","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","Yes","Remove from Category 3","13"
"FENWICK BRANCH","COPPER","COPPER","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"FORT DUPONT TRIBUTARY","COPPER","COPPER","DISSOLVED","3","19","19","18","0","19","0","16","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","10"
"FORT STANTON TRIBUTARY","COPPER","COPPER","DISSOLVED","Not Listed","19","20","19","0","20","0","16","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"HICKEY RUN","COPPER","COPPER","DISSOLVED","3","150","150","147","1","150","1","102","71","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","Yes","Remove from Category 3","13"
"KINGMAN LAKE","COPPER","COPPER","DISSOLVED","3","13","25","25","0","25","0","15","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","10"
"KLINGLE VALLEY","COPPER","COPPER","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"LUZON BRANCH","COPPER","COPPER","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"MELVIN HAZEN VALLEY BRANCH","COPPER","COPPER","DISSOLVED","3","13","13","12","0","13","0","13","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","10"
"NASH RUN","COPPER","COPPER","DISSOLVED","3","6","7","7","0","7","0","3","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","10"
"NORMANSTONE CREEK","COPPER","COPPER","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"OXON RUN","COPPER","COPPER","DISSOLVED","3","1","1","1","0","1","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"PINEHURST BRANCH","COPPER","COPPER","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"PINEY BRANCH","COPPER","COPPER","DISSOLVED","3","1","1","1","0","1","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"POPE BRANCH","COPPER","COPPER","DISSOLVED","3","1","1","1","0","1","0","1","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","10"
"PORTAL BRANCH","COPPER","COPPER","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"POTOMAC LOWER","COPPER","COPPER","DISSOLVED","Not Listed","13","13","13","0","13","0","13","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"POTOMAC MIDDLE","COPPER","COPPER","DISSOLVED","Not Listed","13","13","12","0","13","0","13","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","COPPER","COPPER","DISSOLVED","Not Listed","13","13","12","0","13","0","13","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","COPPER","COPPER","DISSOLVED","4a","13","13","13","0","13","0","13","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 4a","3"
"ROCK CREEK UPPER","COPPER","COPPER","DISSOLVED","Not Listed","155","155","154","0","155","0","107","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"SOAPSTONE CREEK","COPPER","COPPER","DISSOLVED","3","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"TEXAS AVENUE TRIBUTARY","COPPER","COPPER","DISSOLVED","Not Listed","6","6","4","0","6","0","3","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"TIDAL BASIN","COPPER","COPPER","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"WASHINGTON SHIP CHANNEL","COPPER","COPPER","DISSOLVED","Not Listed","4","16","16","0","16","0","12","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"WATTS BRANCH LOWER","COPPER","COPPER","DISSOLVED","Not Listed","3","3","3","0","3","0","3","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"WATTS BRANCH UPPER","COPPER","COPPER","DISSOLVED","Not Listed","157","159","156","1","159","1","113","119","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No","Not listed - take no action","16"
"BATTERY KEMBLE CREEK","COPPER","COPPER","DISSOLVED","3","1","1","1","0","1","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Remove from Category 3","8"
"C&O CANAL","COPPER","COPPER","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"FORT CHAPLIN TRIBUTARY","COPPER","COPPER","DISSOLVED","Not Listed","6","6","6","0","6","0","3","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"FORT DAVIS TRIBUTARY","COPPER","COPPER","DISSOLVED","Not Listed","6","6","4","0","6","0","3","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"FOUNDRY BRANCH","COPPER","COPPER","DISSOLVED","Not Listed","1","2","2","0","2","0","0","No exceedance","10.76","0.0161 - 0.127","16.5","0.0104 -0.0833","No exceedance","Not listed - take no action","15"
"ANACOSTIA LOWER","LEAD","LEAD","DISSOLVED","Not Listed","21","49","38","0","49","0","37","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"ANACOSTIA UPPER","LEAD","LEAD","DISSOLVED","Not Listed","11","37","31","0","37","0","18","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"BROAD BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","13","13","6","0","13","0","13","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"DALECARLIA TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"DUMBARTON OAKS","LEAD","LEAD","DISSOLVED","Not Listed","13","13","4","1","13","1","13","10","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","Yes","Not listed - take no action","16"
"FENWICK BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"FORT DUPONT TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","16","16","7","0","16","0","13","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"FORT STANTON TRIBUTARY","LEAD","LEAD","DISSOLVED","Not Listed","16","17","9","0","17","0","13","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"HICKEY RUN","LEAD","LEAD","DISSOLVED","Not Listed","150","150","145","0","150","0","102","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"KINGMAN LAKE","LEAD","LEAD","DISSOLVED","Not Listed","10","22","18","0","22","0","12","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"KLINGLE VALLEY","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"LUZON BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"MELVIN HAZEN VALLEY BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","13","13","4","0","13","0","13","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"NASH RUN","LEAD","LEAD","DISSOLVED","Not Listed","3","4","4","0","4","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"NORMANSTONE CREEK","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"OXON RUN","LEAD","LEAD","DISSOLVED","Not Listed","1","1","1","0","1","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"PINEHURST BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"PINEY BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","1","1","1","0","1","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"POPE BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","1","1","1","0","1","0","1","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"PORTAL BRANCH","LEAD","LEAD","DISSOLVED","Not Listed","0","0","0","0","0","0","0","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"POTOMAC LOWER","LEAD","LEAD","DISSOLVED","Not Listed","13","13","5","1","13","1","13","9","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","Yes","Not listed - take no action","16"
"POTOMAC MIDDLE","LEAD","LEAD","DISSOLVED","Not Listed","13","13","5","0","13","0","13","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"POTOMAC UPPER","LEAD","LEAD","DISSOLVED","Not Listed","13","13","4","0","13","0","13","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Not listed - take no action","15"
"ROCK CREEK LOWER","LEAD","LEAD","DISSOLVED","4a","13","13","6","0","13","0","13","No exceedance","waterbody-specific","0.00188 - 0.198","waterbody-specific","0.0000682 - 0.00672","No exceedance","Remove from Category 4a","3"
