"site_summary_segment","group_lower","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample","number_of_detects","most_recent_detect","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"Anacostia Lower","arsenic","","",181,43,2021,45,"2021",15,2021,2,"Yes","2018 - 2021"
"Anacostia Upper","arsenic","","",182,52,2021,41,"2021",16,2021,2,"Yes","2018 - 2021"
"Battery Kemble Creek","arsenic","","",42,NA,2013,1,"2013",1,2013,0,NA,NA
"Broad Branch","arsenic","","",37,13,2021,8,"2021",8,2021,2,"Yes","2018 - 2021"
"C&O Canal","arsenic","","",69,NA,2012,0,"never",0,NA,NA,NA,NA
"Dalecarlia Tributary","arsenic","","",39,NA,2012,0,"never",0,NA,NA,NA,NA
"Dumbarton Oaks Tributary","arsenic","","",37,13,2021,7,"2021",7,2021,4,"Yes","2018 - 2021"
"Fenwick Branch","arsenic","","",24,NA,2012,0,"never",0,NA,NA,NA,NA
"Fort Chaplin Tributary","arsenic","","",42,3,2019,4,"2014",4,2014,3,NA,NA
"Fort Davis Tributary","arsenic","","",45,3,2019,4,"2019",4,2019,0,NA,NA
"Fort Dupont Tributary","arsenic","","",46,16,2021,12,"2021",11,2021,2,"Yes","2018 - 2021"
"Fort Stanton Tributary","arsenic","","",55,16,2021,11,"2021",11,2021,2,"Yes","2018 - 2021"
"Foundry Branch","arsenic","","",9,NA,2013,1,"2013",1,2013,0,NA,NA
"Hickey Run","arsenic","","",44,1,2017,4,"2017",0,NA,NA,NA,NA
"Kingman Lake","arsenic","","",89,15,2019,19,"2019",4,2019,0,"Yes","2018 - 2021"
"Klingle Valley Branch","arsenic","","",23,NA,2012,0,"never",0,NA,NA,NA,NA
"Lower Beaverdam Creek","arsenic","","",2,2,2017,1,"2017",0,NA,NA,NA,NA
"Luzon Branch","arsenic","","",23,NA,2012,0,"never",0,NA,NA,NA,NA
"Mataponi Creek","arsenic","","",13,13,2021,10,"2021",0,NA,NA,NA,NA
"Melvin Hazen Valley Branch","arsenic","","",38,13,2021,6,"2021",6,2021,3,"Yes","2018 - 2021"
"Nash Run","arsenic","","",31,3,2019,5,"2018",4,2018,1,"Yes","2018 - 2021"
"Normanstone Creek","arsenic","","",24,NA,2012,0,"never",0,NA,NA,NA,NA
"Oxon Run","arsenic","","",49,13,2021,6,"2021",6,2021,2,"Yes","2018 - 2021"
"Patuxent River","arsenic","","",13,13,2021,2,"2021",0,NA,NA,NA,NA
"Pinehurst Branch","arsenic","","",24,NA,2012,0,"never",0,NA,NA,NA,NA
"Piney Branch","arsenic","","",25,NA,2013,0,"never",0,NA,NA,NA,NA
"Pope Branch","arsenic","","",24,1,2017,2,"2001",0,NA,NA,NA,NA
"Portal Branch","arsenic","","",24,NA,2012,0,"never",0,NA,NA,NA,NA
"Potomac Lower","arsenic","","",164,13,2021,13,"2021",12,2021,2,"Yes","2018 - 2021"
"Potomac Middle","arsenic","","",54,13,2021,9,"2021",8,2021,2,"Yes","2018 - 2021"
"Potomac Upper","arsenic","","",91,13,2021,11,"2021",10,2021,2,"Yes","2018 - 2021"
"Rock Creek Lower","arsenic","","",58,13,2021,9,"2021",9,2021,2,"Yes","2018 - 2021"
"Rock Creek Upper","arsenic","","",68,21,2021,13,"2021",13,2021,2,"Yes","2018 - 2021"
"Soapstone Creek","arsenic","","",25,NA,2012,0,"never",0,NA,NA,NA,NA
"Texas Avenue Tributary","arsenic","","",40,3,2019,5,"2014",4,2014,3,NA,NA
"Tidal Basin","arsenic","","",48,NA,2012,0,"never",0,NA,NA,NA,NA
"Washington Ship Channel","arsenic","","",57,12,2016,15,"2016",1,1994,51,NA,NA
"Watts Banch","arsenic","","",3,3,2017,2,"2017",0,NA,NA,NA,NA
"Watts Branch","arsenic","","",117,NA,2012,0,"never",0,NA,NA,NA,NA
"Watts Branch - Upper","arsenic","","",13,13,2021,9,"2021",0,NA,NA,NA,NA
"Anacostia Lower","chlordane","","",27,19,2021,1,"2014",1,2014,19,NA,NA
"Anacostia Upper","chlordane","","",84,73,2021,0,"never",0,NA,NA,NA,NA
"Battery Kemble Creek","chlordane","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Broad Branch","chlordane","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"C&O Canal","chlordane","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalecarlia Tributary","chlordane","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Dumbarton Oaks Tributary","chlordane","","",14,13,2021,2,"2021",2,2021,4,"Yes","2018 - 2021"
"Fenwick Branch","chlordane","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Fort Chaplin Tributary","chlordane","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Davis Tributary","chlordane","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Dupont Tributary","chlordane","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Fort Stanton Tributary","chlordane","","",16,13,2021,0,"never",0,NA,NA,NA,NA
"Foundry Branch","chlordane","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hickey Run","chlordane","","",5,2,2019,0,"never",0,NA,NA,NA,NA
"Kingman Lake","chlordane","","",8,3,2019,1,"2014",1,2014,4,NA,NA
"Klingle Valley Branch","chlordane","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Lower Beaverdam Creek","chlordane","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luzon Branch","chlordane","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Mataponi Creek","chlordane","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Melvin Hazen Valley Branch","chlordane","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"Nash Run","chlordane","","",6,3,2019,0,"never",0,NA,NA,NA,NA
"Normanstone Creek","chlordane","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Oxon Run","chlordane","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"Patuxent River","chlordane","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Pinehurst Branch","chlordane","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Piney Branch","chlordane","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Pope Branch","chlordane","","",6,3,2019,1,"2013",1,2013,4,NA,NA
"Portal Branch","chlordane","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Potomac Lower","chlordane","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Potomac Middle","chlordane","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Potomac Upper","chlordane","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Rock Creek Lower","chlordane","","",13,13,2021,1,"2020",1,2020,6,"No","Never"
"Rock Creek Upper","chlordane","","",21,21,2021,0,"never",0,NA,NA,NA,NA
"Soapstone Creek","chlordane","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Texas Avenue Tributary","chlordane","","",6,3,2019,1,"2013",1,2013,4,NA,NA
"Tidal Basin","chlordane","","",3,NA,2014,0,"never",0,NA,NA,NA,NA
"Washington Ship Channel","chlordane","","",3,NA,2014,0,"never",0,NA,NA,NA,NA
"Watts Banch","chlordane","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watts Branch","chlordane","","",6,3,2019,0,"never",0,NA,NA,NA,NA
"Watts Branch - Upper","chlordane","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Anacostia Lower","copper","","",138,43,2021,53,"2021",0,NA,NA,NA,NA
"Anacostia Upper","copper","","",149,52,2021,65,"2021",0,NA,NA,NA,NA
"Battery Kemble Creek","copper","","",27,NA,2013,2,"2013",0,NA,NA,NA,NA
"Broad Branch","copper","","",23,13,2021,11,"2021",0,NA,NA,NA,NA
"C&O Canal","copper","","",46,NA,2002,0,"never",0,NA,NA,NA,NA
"Dalecarlia Tributary","copper","","",24,NA,2002,1,"2001",0,NA,NA,NA,NA
"Dumbarton Oaks Tributary","copper","","",24,13,2021,10,"2021",0,NA,NA,"No","Never"
"Fenwick Branch","copper","","",11,NA,2002,0,"never",0,NA,NA,NA,NA
"Fort Chaplin Tributary","copper","","",25,3,2019,5,"2019",0,NA,NA,NA,NA
"Fort Davis Tributary","copper","","",29,3,2019,3,"2014",0,NA,NA,NA,NA
"Fort Dupont Tributary","copper","","",30,16,2021,14,"2021",0,NA,NA,NA,NA
"Fort Stanton Tributary","copper","","",42,16,2021,16,"2021",0,NA,NA,NA,NA
"Foundry Branch","copper","","",9,NA,2013,5,"2013",0,NA,NA,NA,NA
"Hickey Run","copper","","",176,102,2021,146,"2021",0,NA,NA,"No","Never"
"Kingman Lake","copper","","",62,15,2019,24,"2019",0,NA,NA,NA,NA
"Klingle Valley Branch","copper","","",10,NA,2002,1,"2001",0,NA,NA,NA,NA
"Lower Beaverdam Creek","copper","","",2,2,2017,2,"2017",0,NA,NA,NA,NA
"Luzon Branch","copper","","",9,NA,2002,1,"2001",0,NA,NA,NA,NA
"Mataponi Creek","copper","","",13,13,2021,5,"2021",0,NA,NA,NA,NA
"Melvin Hazen Valley Branch","copper","","",23,13,2021,9,"2021",0,NA,NA,"No","Never"
"Nash Run","copper","","",16,3,2019,6,"2019",0,NA,NA,NA,NA
"Normanstone Creek","copper","","",10,NA,2002,0,"never",0,NA,NA,NA,NA
"Oxon Run","copper","","",35,13,2021,13,"2021",0,NA,NA,NA,NA
"Patuxent River","copper","","",13,13,2021,4,"2021",0,NA,NA,NA,NA
"Pinehurst Branch","copper","","",10,NA,2002,0,"never",0,NA,NA,NA,NA
"Piney Branch","copper","","",11,NA,2013,1,"2013",0,NA,NA,NA,NA
"Pope Branch","copper","","",10,1,2017,3,"2017",0,NA,NA,NA,NA
"Portal Branch","copper","","",10,NA,2002,0,"never",0,NA,NA,NA,NA
"Potomac Lower","copper","","",116,13,2021,11,"2021",0,NA,NA,NA,NA
"Potomac Middle","copper","","",40,13,2021,10,"2021",0,NA,NA,NA,NA
"Potomac Upper","copper","","",65,13,2021,9,"2021",0,NA,NA,NA,NA
"Rock Creek Lower","copper","","",43,13,2021,11,"2021",0,NA,NA,"No","Never"
"Rock Creek Upper","copper","","",210,128,2021,170,"2021",0,NA,NA,NA,NA
"Soapstone Creek","copper","","",11,NA,2002,1,"2000",0,NA,NA,NA,NA
"Texas Avenue Tributary","copper","","",28,3,2019,5,"2014",0,NA,NA,NA,NA
"Tidal Basin","copper","","",33,NA,2002,0,"never",0,NA,NA,NA,NA
"Washington Ship Channel","copper","","",43,12,2016,17,"2016",0,NA,NA,NA,NA
"Watts Banch","copper","","",3,3,2017,3,"2017",0,NA,NA,NA,NA
"Watts Branch","copper","","",217,100,2021,139,"2021",0,NA,NA,NA,NA
"Watts Branch - Upper","copper","","",13,13,2021,10,"2021",0,NA,NA,NA,NA
"Anacostia Lower","ddd","","",59,43,2021,3,"2018",3,2018,15,"Yes","2016 - 2019"
"Anacostia Upper","ddd","","",116,97,2021,7,"2018",7,2018,35,"Yes","2018 - 2021"
"Battery Kemble Creek","ddd","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Broad Branch","ddd","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"C&O Canal","ddd","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalecarlia Tributary","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Dumbarton Oaks Tributary","ddd","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"Fenwick Branch","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Fort Chaplin Tributary","ddd","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Davis Tributary","ddd","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Dupont Tributary","ddd","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Fort Stanton Tributary","ddd","","",16,13,2021,1,"2020",1,2020,11,"No","Never"
"Foundry Branch","ddd","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hickey Run","ddd","","",5,2,2019,1,"2018",1,2018,1,"No","Never"
"Kingman Lake","ddd","","",24,15,2019,3,"2018",3,2018,1,"Yes","2016 - 2019"
"Klingle Valley Branch","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Lower Beaverdam Creek","ddd","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luzon Branch","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Mataponi Creek","ddd","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Melvin Hazen Valley Branch","ddd","","",14,13,2021,1,"2020",1,2020,9,"No","Never"
"Nash Run","ddd","","",6,3,2019,1,"2018",1,2018,1,"No","Never"
"Normanstone Creek","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Oxon Run","ddd","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"Patuxent River","ddd","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Pinehurst Branch","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Piney Branch","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Pope Branch","ddd","","",6,3,2019,0,"never",0,NA,NA,NA,NA
"Portal Branch","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Potomac Lower","ddd","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Potomac Middle","ddd","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Potomac Upper","ddd","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Rock Creek Lower","ddd","","",13,13,2021,1,"2020",1,2020,6,"No","Never"
"Rock Creek Upper","ddd","","",21,21,2021,0,"never",0,NA,NA,NA,NA
"Soapstone Creek","ddd","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Texas Avenue Tributary","ddd","","",6,3,2019,5,"2018",5,2018,1,"Yes","2018 - 2021"
"Tidal Basin","ddd","","",3,NA,2014,0,"never",0,NA,NA,NA,NA
"Washington Ship Channel","ddd","","",19,12,2016,0,"never",0,NA,NA,NA,NA
"Watts Banch","ddd","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Watts Branch","ddd","","",6,3,2019,1,"2018",1,2018,1,"No","Never"
"Watts Branch - Upper","ddd","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Anacostia Lower","dde","","",59,43,2021,0,"never",0,NA,NA,NA,NA
"Anacostia Upper","dde","","",116,97,2021,1,"2018",1,2018,61,"No","Never"
"Battery Kemble Creek","dde","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Broad Branch","dde","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"C&O Canal","dde","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dalecarlia Tributary","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Dumbarton Oaks Tributary","dde","","",14,13,2021,1,"2020",1,2020,10,"No","Never"
"Fenwick Branch","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Fort Chaplin Tributary","dde","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Davis Tributary","dde","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fort Dupont Tributary","dde","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Fort Stanton Tributary","dde","","",16,13,2021,1,"2020",1,2020,6,NA,NA
"Foundry Branch","dde","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hickey Run","dde","","",5,2,2019,1,"2014",1,2014,2,NA,NA
"Kingman Lake","dde","","",24,15,2019,0,"never",0,NA,NA,NA,NA
"Klingle Valley Branch","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Lower Beaverdam Creek","dde","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luzon Branch","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Mataponi Creek","dde","","",13,13,2021,1,"2020",0,NA,NA,NA,NA
"Melvin Hazen Valley Branch","dde","","",14,13,2021,1,"2020",1,2020,9,"No","Never"
"Nash Run","dde","","",6,3,2019,0,"never",0,NA,NA,NA,NA
"Normanstone Creek","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Oxon Run","dde","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"Patuxent River","dde","","",13,13,2021,1,"2020",0,NA,NA,NA,NA
"Pinehurst Branch","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Piney Branch","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Pope Branch","dde","","",6,3,2019,1,"2014",1,2014,3,NA,NA
"Portal Branch","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Potomac Lower","dde","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Potomac Middle","dde","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Potomac Upper","dde","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"Rock Creek Lower","dde","","",13,13,2021,2,"2020",2,2020,6,"Yes","2018 - 2021"
"Rock Creek Upper","dde","","",38,21,2021,0,"never",0,NA,NA,NA,NA
"Soapstone Creek","dde","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"Texas Avenue Tributary","dde","","",6,3,2019,2,"2014",2,2014,3,NA,NA
