"waterbody_segment","pollutant_group","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample","number_of_detects","most_recent_detect","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"ANACOSTIA LOWER","ARSENIC","","",145,80,2021,92,"2021",52,2021,0,"Yes","2018 - 2021"
"ANACOSTIA UPPER","ARSENIC","","",227,74,2019,100,"2019",56,2019,0,"Yes","2018 - 2021"
"BATTERY KEMBLE CREEK","ARSENIC","","",43,NA,2013,1,"2013",0,NA,NA,NA,NA
"BROAD BRANCH","ARSENIC","","",50,26,2021,21,"2021",10,2021,0,"Yes","2018 - 2021"
"C&O CANAL","ARSENIC","","",69,NA,2012,0,"never",0,NA,NA,NA,NA
"DALECARLIA TRIBUTARY","ARSENIC","","",39,NA,2012,0,"never",0,NA,NA,NA,NA
"DUMBARTON OAKS","ARSENIC","","",50,26,2021,14,"2021",8,2021,0,"Yes","2018 - 2021"
"FENWICK BRANCH","ARSENIC","","",24,NA,2012,0,"never",0,NA,NA,NA,NA
"FORT CHAPLIN TRIBUTARY","ARSENIC","","",48,6,2019,12,"2019",6,2019,0,"Yes","2018 - 2021"
"FORT DAVIS TRIBUTARY","ARSENIC","","",51,6,2019,11,"2019",6,2019,0,"Yes","2018 - 2021"
"FORT DUPONT TRIBUTARY","ARSENIC","","",64,32,2021,27,"2021",14,2021,0,"Yes","2018 - 2021"
"FORT STANTON TRIBUTARY","ARSENIC","","",76,32,2021,28,"2021",14,2021,0,"Yes","2018 - 2021"
"FOUNDRY BRANCH","ARSENIC","","",12,NA,2013,2,"2013",0,NA,NA,NA,NA
"HICKEY RUN","ARSENIC","","",42,2,2017,2,"2017",1,2017,0,NA,NA
"KINGMAN LAKE","ARSENIC","","",115,30,2019,43,"2019",22,2019,0,"Yes","2018 - 2021"
"KLINGLE VALLEY","ARSENIC","","",22,NA,2012,0,"never",0,NA,NA,NA,NA
"LUZON BRANCH","ARSENIC","","",22,NA,2012,0,"never",0,NA,NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","ARSENIC","","",51,26,2021,13,"2021",7,2021,0,"Yes","2018 - 2021"
"NASH RUN","ARSENIC","","",38,6,2019,12,"2019",6,2019,0,"Yes","2018 - 2021"
"NORMANSTONE CREEK","ARSENIC","","",24,NA,2012,0,"never",0,NA,NA,NA,NA
"OXON RUN","ARSENIC","","",37,NA,2013,1,"2013",0,NA,NA,NA,NA
"PINEHURST BRANCH","ARSENIC","","",24,NA,2012,0,"never",0,NA,NA,NA,NA
"PINEY BRANCH","ARSENIC","","",26,NA,2013,0,"never",0,NA,NA,NA,NA
"POPE BRANCH","ARSENIC","","",23,2,2017,1,"2017",1,2017,0,NA,NA
"PORTAL BRANCH","ARSENIC","","",24,NA,2012,0,"never",0,NA,NA,NA,NA
"POTOMAC LOWER","ARSENIC","","",183,26,2021,23,"2021",13,2021,0,"Yes","2018 - 2021"
"POTOMAC MIDDLE","ARSENIC","","",106,26,2021,19,"2021",11,2021,0,"Yes","2018 - 2021"
"POTOMAC UPPER","ARSENIC","","",63,26,2021,21,"2021",12,2021,0,"Yes","2018 - 2021"
"ROCK CREEK LOWER","ARSENIC","","",70,26,2021,16,"2021",10,2021,0,"Yes","2018 - 2021"
"ROCK CREEK UPPER","ARSENIC","","",47,NA,2012,0,"never",0,NA,NA,NA,NA
"SOAPSTONE CREEK","ARSENIC","","",23,NA,2012,0,"never",0,NA,NA,NA,NA
"TEXAS AVENUE TRIBUTARY","ARSENIC","","",45,6,2019,13,"2019",7,2019,0,"Yes","2018 - 2021"
"TIDAL BASIN","ARSENIC","","",48,NA,2012,0,"never",0,NA,NA,NA,NA
"WASHINGTON SHIP CHANNEL","ARSENIC","","",71,24,2016,29,"2016",17,2016,0,"Yes","2016 - 2019"
"WATTS BRANCH LOWER","ARSENIC","","",44,6,2017,5,"2017",3,2017,0,"Yes","2017 - 2020"
"WATTS BRANCH UPPER","ARSENIC","","",105,26,2021,22,"2021",11,2021,0,"Yes","2018 - 2021"
"ANACOSTIA LOWER","CHLORDANE_TECHNICAL","","",52,40,2021,1,"2014",1,2014,48,NA,NA
"ANACOSTIA UPPER","CHLORDANE_TECHNICAL","","",105,86,2019,0,"never",0,NA,NA,NA,NA
"BATTERY KEMBLE CREEK","CHLORDANE_TECHNICAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROAD BRANCH","CHLORDANE_TECHNICAL","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"C&O CANAL","CHLORDANE_TECHNICAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DALECARLIA TRIBUTARY","CHLORDANE_TECHNICAL","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"DUMBARTON OAKS","CHLORDANE_TECHNICAL","","",15,13,2021,2,"2021",2,2021,4,"Yes","2018 - 2021"
"FENWICK BRANCH","CHLORDANE_TECHNICAL","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"FORT CHAPLIN TRIBUTARY","CHLORDANE_TECHNICAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DAVIS TRIBUTARY","CHLORDANE_TECHNICAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DUPONT TRIBUTARY","CHLORDANE_TECHNICAL","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"FORT STANTON TRIBUTARY","CHLORDANE_TECHNICAL","","",17,13,2021,0,"never",0,NA,NA,NA,NA
"FOUNDRY BRANCH","CHLORDANE_TECHNICAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HICKEY RUN","CHLORDANE_TECHNICAL","","",6,3,2019,0,"never",0,NA,NA,NA,NA
"KINGMAN LAKE","CHLORDANE_TECHNICAL","","",25,15,2019,1,"2014",1,2014,20,NA,NA
"KLINGLE VALLEY","CHLORDANE_TECHNICAL","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"LUZON BRANCH","CHLORDANE_TECHNICAL","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","CHLORDANE_TECHNICAL","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"NASH RUN","CHLORDANE_TECHNICAL","","",7,3,2019,0,"never",0,NA,NA,NA,NA
"NORMANSTONE CREEK","CHLORDANE_TECHNICAL","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"OXON RUN","CHLORDANE_TECHNICAL","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"PINEHURST BRANCH","CHLORDANE_TECHNICAL","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"PINEY BRANCH","CHLORDANE_TECHNICAL","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"POPE BRANCH","CHLORDANE_TECHNICAL","","",7,4,2019,1,"2013",1,2013,5,NA,NA
"PORTAL BRANCH","CHLORDANE_TECHNICAL","","",2,NA,2013,0,"never",0,NA,NA,NA,NA
"POTOMAC LOWER","CHLORDANE_TECHNICAL","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"POTOMAC MIDDLE","CHLORDANE_TECHNICAL","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"POTOMAC UPPER","CHLORDANE_TECHNICAL","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"ROCK CREEK LOWER","CHLORDANE_TECHNICAL","","",13,13,2021,1,"2020",1,2020,6,NA,NA
"ROCK CREEK UPPER","CHLORDANE_TECHNICAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOAPSTONE CREEK","CHLORDANE_TECHNICAL","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"TEXAS AVENUE TRIBUTARY","CHLORDANE_TECHNICAL","","",6,3,2019,1,"2013",1,2013,4,NA,NA
"TIDAL BASIN","CHLORDANE_TECHNICAL","","",3,NA,2014,0,"never",0,NA,NA,NA,NA
"WASHINGTON SHIP CHANNEL","CHLORDANE_TECHNICAL","","",19,12,2016,0,"never",0,NA,NA,NA,NA
"WATTS BRANCH LOWER","CHLORDANE_TECHNICAL","","",7,4,2019,0,"never",0,NA,NA,NA,NA
"WATTS BRANCH UPPER","CHLORDANE_TECHNICAL","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"ANACOSTIA LOWER","COPPER","","",104,80,2021,104,"2021",0,NA,NA,NA,NA
"ANACOSTIA UPPER","COPPER","","",112,74,2019,112,"2019",0,NA,NA,NA,NA
"BATTERY KEMBLE CREEK","COPPER","","",2,NA,2013,2,"2013",0,NA,NA,NA,NA
"BROAD BRANCH","COPPER","","",26,26,2021,26,"2021",0,NA,NA,NA,NA
"C&O CANAL","COPPER","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DALECARLIA TRIBUTARY","COPPER","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DUMBARTON OAKS","COPPER","","",26,26,2021,23,"2021",0,NA,NA,NA,NA
"FENWICK BRANCH","COPPER","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT CHAPLIN TRIBUTARY","COPPER","","",12,6,2019,12,"2019",0,NA,NA,NA,NA
"FORT DAVIS TRIBUTARY","COPPER","","",12,6,2019,9,"2019",0,NA,NA,NA,NA
"FORT DUPONT TRIBUTARY","COPPER","","",38,32,2021,37,"2021",0,NA,NA,NA,NA
"FORT STANTON TRIBUTARY","COPPER","","",40,32,2021,39,"2021",0,NA,NA,NA,NA
"FOUNDRY BRANCH","COPPER","","",4,NA,2013,4,"2013",0,NA,NA,NA,NA
"HICKEY RUN","COPPER","","",151,103,2021,148,"2021",0,NA,NA,NA,NA
"KINGMAN LAKE","COPPER","","",50,30,2019,50,"2019",0,NA,NA,NA,NA
"KLINGLE VALLEY","COPPER","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LUZON BRANCH","COPPER","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","COPPER","","",26,26,2021,23,"2021",0,NA,NA,NA,NA
"NASH RUN","COPPER","","",14,6,2019,14,"2019",0,NA,NA,NA,NA
"NORMANSTONE CREEK","COPPER","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OXON RUN","COPPER","","",2,NA,2013,2,"2013",0,NA,NA,NA,NA
"PINEHURST BRANCH","COPPER","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PINEY BRANCH","COPPER","","",2,NA,2013,2,"2013",0,NA,NA,NA,NA
"POPE BRANCH","COPPER","","",2,2,2017,2,"2017",0,NA,NA,NA,NA
"PORTAL BRANCH","COPPER","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POTOMAC LOWER","COPPER","","",26,26,2021,26,"2021",0,NA,NA,NA,NA
"POTOMAC MIDDLE","COPPER","","",26,26,2021,24,"2021",0,NA,NA,NA,NA
"POTOMAC UPPER","COPPER","","",26,26,2021,23,"2021",0,NA,NA,NA,NA
"ROCK CREEK LOWER","COPPER","","",26,26,2021,26,"2021",0,NA,NA,NA,NA
"ROCK CREEK UPPER","COPPER","","",155,107,2021,154,"2021",0,NA,NA,NA,NA
"SOAPSTONE CREEK","COPPER","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEXAS AVENUE TRIBUTARY","COPPER","","",12,6,2019,10,"2019",0,NA,NA,NA,NA
"TIDAL BASIN","COPPER","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WASHINGTON SHIP CHANNEL","COPPER","","",32,24,2016,32,"2016",0,NA,NA,NA,NA
"WATTS BRANCH LOWER","COPPER","","",6,6,2017,6,"2017",0,NA,NA,NA,NA
"WATTS BRANCH UPPER","COPPER","","",172,126,2021,169,"2021",0,NA,NA,NA,NA
"ANACOSTIA LOWER","DDD","","",52,40,2021,3,"2019",3,2019,13,"Yes","2016 - 2019"
"ANACOSTIA UPPER","DDD","","",105,86,2019,21,"2019",21,2019,0,"Yes","2018 - 2021"
"BATTERY KEMBLE CREEK","DDD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROAD BRANCH","DDD","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"C&O CANAL","DDD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DALECARLIA TRIBUTARY","DDD","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"DUMBARTON OAKS","DDD","","",15,13,2021,0,"never",0,NA,NA,NA,NA
"FENWICK BRANCH","DDD","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"FORT CHAPLIN TRIBUTARY","DDD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DAVIS TRIBUTARY","DDD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DUPONT TRIBUTARY","DDD","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"FORT STANTON TRIBUTARY","DDD","","",17,13,2021,1,"2020",1,2020,11,NA,NA
"FOUNDRY BRANCH","DDD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HICKEY RUN","DDD","","",6,3,2019,0,"never",0,NA,NA,NA,NA
"KINGMAN LAKE","DDD","","",25,15,2019,3,"2019",3,2019,0,"Yes","2016 - 2019"
"KLINGLE VALLEY","DDD","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"LUZON BRANCH","DDD","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","DDD","","",14,13,2021,1,"2020",1,2020,9,NA,NA
"NASH RUN","DDD","","",7,3,2019,0,"never",0,NA,NA,NA,NA
"NORMANSTONE CREEK","DDD","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"OXON RUN","DDD","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"PINEHURST BRANCH","DDD","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"PINEY BRANCH","DDD","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"POPE BRANCH","DDD","","",7,4,2019,0,"never",0,NA,NA,NA,NA
"PORTAL BRANCH","DDD","","",2,NA,2013,0,"never",0,NA,NA,NA,NA
"POTOMAC LOWER","DDD","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"POTOMAC MIDDLE","DDD","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"POTOMAC UPPER","DDD","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"ROCK CREEK LOWER","DDD","","",13,13,2021,1,"2020",1,2020,6,NA,NA
"ROCK CREEK UPPER","DDD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOAPSTONE CREEK","DDD","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"TEXAS AVENUE TRIBUTARY","DDD","","",6,3,2019,6,"2019",6,2019,0,"Yes","2018 - 2021"
"TIDAL BASIN","DDD","","",3,NA,2014,0,"never",0,NA,NA,NA,NA
"WASHINGTON SHIP CHANNEL","DDD","","",19,12,2016,0,"never",0,NA,NA,NA,NA
"WATTS BRANCH LOWER","DDD","","",7,4,2019,0,"never",0,NA,NA,NA,NA
"WATTS BRANCH UPPER","DDD","","",13,13,2021,1,"2021",1,2021,1,NA,NA
"ANACOSTIA LOWER","DDE","","",52,40,2021,0,"never",0,NA,NA,NA,NA
"ANACOSTIA UPPER","DDE","","",105,86,2019,1,"2018",1,2018,54,NA,NA
"BATTERY KEMBLE CREEK","DDE","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROAD BRANCH","DDE","","",14,13,2021,0,"never",0,NA,NA,NA,NA
"C&O CANAL","DDE","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DALECARLIA TRIBUTARY","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"DUMBARTON OAKS","DDE","","",15,13,2021,1,"2020",1,2020,10,NA,NA
"FENWICK BRANCH","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"FORT CHAPLIN TRIBUTARY","DDE","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DAVIS TRIBUTARY","DDE","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DUPONT TRIBUTARY","DDE","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"FORT STANTON TRIBUTARY","DDE","","",17,13,2021,1,"2020",1,2020,6,NA,NA
"FOUNDRY BRANCH","DDE","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HICKEY RUN","DDE","","",6,3,2019,1,"2014",1,2014,3,NA,NA
"KINGMAN LAKE","DDE","","",25,15,2019,0,"never",0,NA,NA,NA,NA
"KLINGLE VALLEY","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"LUZON BRANCH","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","DDE","","",14,13,2021,1,"2020",1,2020,9,NA,NA
"NASH RUN","DDE","","",7,3,2019,0,"never",0,NA,NA,NA,NA
"NORMANSTONE CREEK","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"OXON RUN","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"PINEHURST BRANCH","DDE","","",2,NA,2013,0,"never",0,NA,NA,NA,NA
"PINEY BRANCH","DDE","","",1,NA,2013,0,"never",0,NA,NA,NA,NA
"POPE BRANCH","DDE","","",7,4,2019,1,"2014",1,2014,4,NA,NA
"PORTAL BRANCH","DDE","","",2,NA,2013,0,"never",0,NA,NA,NA,NA
"POTOMAC LOWER","DDE","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"POTOMAC MIDDLE","DDE","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"POTOMAC UPPER","DDE","","",13,13,2021,0,"never",0,NA,NA,NA,NA
"ROCK CREEK LOWER","DDE","","",14,13,2021,2,"2020",2,2020,6,"Yes","2018 - 2021"
"ROCK CREEK UPPER","DDE","","",19,NA,2000,0,"never",0,NA,NA,NA,NA
