"waterbody_segment","pollutant_group","2020_3030d_listing_category","impaired_use_category","number_of_samples_1990_to_2021","number_of_samples_2016_to_2021","most_recent_sample","number_of_detects","most_recent_detect","number_of_samples_exceeding_class_d","most_recent_class_d_exceedance","number_of_samples_since_last_class_d_exceedance","has_there_been_multi_class_d_exceedance_in_3yr","when_was_last_period_with_multi_class_d_exceedance"
"SOAPSTONE CREEK","PAH1","","",4,NA,2013,0,"never",0,NA,NA,NA,NA
"TEXAS AVENUE TRIBUTARY","PAH1","","",18,9,2019,1,"2014",0,NA,NA,NA,NA
"TIDAL BASIN","PAH1","","",9,NA,2014,1,"2014",0,NA,NA,NA,NA
"WASHINGTON SHIP CHANNEL","PAH1","","",57,36,2016,0,"never",0,NA,NA,NA,NA
"WATTS BRANCH LOWER","PAH1","","",9,NA,2014,1,"2013",0,NA,NA,NA,NA
"WATTS BRANCH UPPER","PAH1","","",39,39,2021,0,"never",0,NA,NA,NA,NA
"ANACOSTIA LOWER","PAH2","","",208,160,2021,34,"2016",4,2016,72,"Yes","2016 - 2019"
"ANACOSTIA UPPER","PAH2","","",224,148,2019,73,"2016",6,2016,112,"Yes","2016 - 2019"
"BATTERY KEMBLE CREEK","PAH2","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROAD BRANCH","PAH2","","",58,52,2021,0,"never",0,NA,NA,NA,NA
"C&O CANAL","PAH2","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DALECARLIA TRIBUTARY","PAH2","","",4,NA,2013,0,"never",0,NA,NA,NA,NA
"DUMBARTON OAKS","PAH2","","",62,52,2021,2,"2020",0,NA,NA,NA,NA
"FENWICK BRANCH","PAH2","","",6,NA,2013,2,"2007",0,NA,NA,NA,NA
"FORT CHAPLIN TRIBUTARY","PAH2","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DAVIS TRIBUTARY","PAH2","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DUPONT TRIBUTARY","PAH2","","",52,52,2021,0,"never",0,NA,NA,NA,NA
"FORT STANTON TRIBUTARY","PAH2","","",80,64,2021,6,"2014",1,2014,64,NA,NA
"FOUNDRY BRANCH","PAH2","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HICKEY RUN","PAH2","","",24,12,2019,8,"2014",2,2014,12,"Yes","2013 - 2016"
"KINGMAN LAKE","PAH2","","",100,60,2019,34,"2016",4,2016,40,"Yes","2016 - 2019"
"KLINGLE VALLEY","PAH2","","",4,NA,2013,0,"never",0,NA,NA,NA,NA
"LUZON BRANCH","PAH2","","",8,NA,2013,1,"2007",0,NA,NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","PAH2","","",56,52,2021,0,"never",0,NA,NA,NA,NA
"NASH RUN","PAH2","","",28,12,2019,14,"2018",4,2018,4,"Yes","2018 - 2021"
"NORMANSTONE CREEK","PAH2","","",6,NA,2013,0,"never",0,NA,NA,NA,NA
"OXON RUN","PAH2","","",4,NA,2013,0,"never",0,NA,NA,NA,NA
"PINEHURST BRANCH","PAH2","","",10,NA,2013,0,"never",0,NA,NA,NA,NA
"PINEY BRANCH","PAH2","","",8,NA,2013,0,"never",0,NA,NA,NA,NA
"POPE BRANCH","PAH2","","",28,16,2019,3,"2014",1,2014,16,NA,NA
"PORTAL BRANCH","PAH2","","",8,NA,2013,0,"never",0,NA,NA,NA,NA
"POTOMAC LOWER","PAH2","","",52,52,2021,0,"never",0,NA,NA,NA,NA
"POTOMAC MIDDLE","PAH2","","",52,52,2021,3,"2020",2,2020,40,"Yes","2018 - 2021"
"POTOMAC UPPER","PAH2","","",52,52,2021,2,"2020",2,2020,36,"Yes","2018 - 2021"
"ROCK CREEK LOWER","PAH2","","",68,52,2021,13,"2020",2,2020,44,"Yes","2018 - 2021"
"ROCK CREEK UPPER","PAH2","","",46,NA,2008,36,"2008",0,NA,NA,NA,NA
"SOAPSTONE CREEK","PAH2","","",6,NA,2013,0,"never",0,NA,NA,NA,NA
"TEXAS AVENUE TRIBUTARY","PAH2","","",24,12,2019,4,"2014",2,2014,12,"Yes","2014 - 2017"
"TIDAL BASIN","PAH2","","",12,NA,2014,0,"never",0,NA,NA,NA,NA
"WASHINGTON SHIP CHANNEL","PAH2","","",76,48,2016,11,"2016",3,2016,16,"Yes","2016 - 2019"
"WATTS BRANCH LOWER","PAH2","","",12,NA,2014,1,"2013",0,NA,NA,NA,NA
"WATTS BRANCH UPPER","PAH2","","",52,52,2021,0,"never",0,NA,NA,NA,NA
"ANACOSTIA LOWER","PAH3","","",208,160,2021,7,"2016",7,2016,72,"Yes","2016 - 2019"
"ANACOSTIA UPPER","PAH3","","",224,148,2019,11,"2016",11,2016,112,"Yes","2016 - 2019"
"BATTERY KEMBLE CREEK","PAH3","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROAD BRANCH","PAH3","","",57,52,2021,2,"2020",2,2020,32,"Yes","2018 - 2021"
"C&O CANAL","PAH3","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DALECARLIA TRIBUTARY","PAH3","","",4,NA,2013,0,"never",0,NA,NA,NA,NA
"DUMBARTON OAKS","PAH3","","",61,52,2021,0,"never",0,NA,NA,NA,NA
"FENWICK BRANCH","PAH3","","",5,NA,2013,0,"never",0,NA,NA,NA,NA
"FORT CHAPLIN TRIBUTARY","PAH3","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DAVIS TRIBUTARY","PAH3","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DUPONT TRIBUTARY","PAH3","","",52,52,2021,0,"never",0,NA,NA,NA,NA
"FORT STANTON TRIBUTARY","PAH3","","",80,64,2021,0,"never",0,NA,NA,NA,NA
"FOUNDRY BRANCH","PAH3","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HICKEY RUN","PAH3","","",24,12,2019,0,"never",0,NA,NA,NA,NA
"KINGMAN LAKE","PAH3","","",100,60,2019,5,"2016",5,2016,60,"Yes","2016 - 2019"
"KLINGLE VALLEY","PAH3","","",4,NA,2013,0,"never",0,NA,NA,NA,NA
"LUZON BRANCH","PAH3","","",6,NA,2013,0,"never",0,NA,NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","PAH3","","",56,52,2021,0,"never",0,NA,NA,NA,NA
"NASH RUN","PAH3","","",28,12,2019,5,"2018",5,2018,4,"Yes","2018 - 2021"
"NORMANSTONE CREEK","PAH3","","",5,NA,2013,0,"never",0,NA,NA,NA,NA
"OXON RUN","PAH3","","",4,NA,2013,0,"never",0,NA,NA,NA,NA
"PINEHURST BRANCH","PAH3","","",7,NA,2013,0,"never",0,NA,NA,NA,NA
"PINEY BRANCH","PAH3","","",6,NA,2013,0,"never",0,NA,NA,NA,NA
"POPE BRANCH","PAH3","","",28,16,2019,2,"2014",2,2014,16,"Yes","2014 - 2017"
"PORTAL BRANCH","PAH3","","",8,NA,2013,0,"never",0,NA,NA,NA,NA
"POTOMAC LOWER","PAH3","","",52,52,2021,0,"never",0,NA,NA,NA,NA
"POTOMAC MIDDLE","PAH3","","",52,52,2021,4,"2020",4,2020,40,"Yes","2018 - 2021"
"POTOMAC UPPER","PAH3","","",52,52,2021,4,"2020",4,2020,36,"Yes","2018 - 2021"
"ROCK CREEK LOWER","PAH3","","",60,52,2021,3,"2020",3,2020,44,"Yes","2018 - 2021"
"ROCK CREEK UPPER","PAH3","","",23,NA,2008,4,"2008",4,2008,0,"Yes","2008 - 2011"
"SOAPSTONE CREEK","PAH3","","",5,NA,2013,0,"never",0,NA,NA,NA,NA
"TEXAS AVENUE TRIBUTARY","PAH3","","",24,12,2019,1,"2014",1,2014,12,NA,NA
"TIDAL BASIN","PAH3","","",12,NA,2014,0,"never",0,NA,NA,NA,NA
"WASHINGTON SHIP CHANNEL","PAH3","","",76,48,2016,7,"2016",7,2016,16,"Yes","2016 - 2019"
"WATTS BRANCH LOWER","PAH3","","",12,NA,2014,0,"never",0,NA,NA,NA,NA
"WATTS BRANCH UPPER","PAH3","","",52,52,2021,0,"never",0,NA,NA,NA,NA
"ANACOSTIA LOWER","PCB_TOTAL","","",41,29,NA,NA,"2021",41,NA,0,"Yes","2018 - 2021"
"ANACOSTIA UPPER","PCB_TOTAL","","",30,18,NA,NA,"never",30,NA,0,"Yes","2016 - 2019"
"BATTERY KEMBLE CREEK","PCB_TOTAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BROAD BRANCH","PCB_TOTAL","","",6,5,NA,NA,"2021",6,NA,0,"Yes","2018 - 2021"
"C&O CANAL","PCB_TOTAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DALECARLIA TRIBUTARY","PCB_TOTAL","","",1,NA,NA,NA,"never",1,NA,0,NA,NA
"DUMBARTON OAKS","PCB_TOTAL","","",7,5,NA,NA,"2021",7,NA,0,"Yes","2018 - 2021"
"FENWICK BRANCH","PCB_TOTAL","","",1,NA,NA,NA,"never",1,NA,0,NA,NA
"FORT CHAPLIN TRIBUTARY","PCB_TOTAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DAVIS TRIBUTARY","PCB_TOTAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT DUPONT TRIBUTARY","PCB_TOTAL","","",5,5,2021,5,"2021",5,2021,0,"Yes","2018 - 2021"
"FORT STANTON TRIBUTARY","PCB_TOTAL","","",9,5,NA,NA,"2021",9,NA,0,"Yes","2018 - 2021"
"FOUNDRY BRANCH","PCB_TOTAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HICKEY RUN","PCB_TOTAL","","",3,NA,NA,NA,"never",3,NA,0,"Yes","2013 - 2016"
"KINGMAN LAKE","PCB_TOTAL","","",18,12,NA,NA,"never",18,NA,0,"Yes","2016 - 2019"
"KLINGLE VALLEY","PCB_TOTAL","","",1,NA,NA,NA,"never",1,NA,0,NA,NA
"LUZON BRANCH","PCB_TOTAL","","",1,NA,NA,NA,"never",1,NA,0,NA,NA
"MELVIN HAZEN VALLEY BRANCH","PCB_TOTAL","","",6,5,NA,NA,"2021",6,NA,0,"Yes","2018 - 2021"
"NASH RUN","PCB_TOTAL","","",4,NA,NA,NA,"never",4,NA,0,"Yes","2014 - 2017"
"NORMANSTONE CREEK","PCB_TOTAL","","",1,NA,NA,NA,"never",1,NA,0,NA,NA
"OXON RUN","PCB_TOTAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PINEHURST BRANCH","PCB_TOTAL","","",1,NA,NA,NA,"never",1,NA,0,NA,NA
"PINEY BRANCH","PCB_TOTAL","","",1,NA,NA,NA,"never",1,NA,0,NA,NA
"POPE BRANCH","PCB_TOTAL","","",3,NA,NA,NA,"never",3,NA,0,"Yes","2013 - 2016"
"PORTAL BRANCH","PCB_TOTAL","","",2,NA,NA,NA,"never",2,NA,0,"Yes","2013 - 2016"
"POTOMAC LOWER","PCB_TOTAL","","",5,5,2021,5,"2021",5,2021,0,"Yes","2018 - 2021"
"POTOMAC MIDDLE","PCB_TOTAL","","",5,5,2021,5,"2021",5,2021,0,"Yes","2018 - 2021"
"POTOMAC UPPER","PCB_TOTAL","","",5,5,2021,5,"2021",5,2021,0,"Yes","2018 - 2021"
"ROCK CREEK LOWER","PCB_TOTAL","","",5,5,2021,5,"2021",5,2021,0,"Yes","2018 - 2021"
"ROCK CREEK UPPER","PCB_TOTAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOAPSTONE CREEK","PCB_TOTAL","","",1,NA,NA,NA,"never",1,NA,0,NA,NA
"TEXAS AVENUE TRIBUTARY","PCB_TOTAL","","",3,NA,NA,NA,"never",3,NA,0,"Yes","2013 - 2016"
"TIDAL BASIN","PCB_TOTAL","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WASHINGTON SHIP CHANNEL","PCB_TOTAL","","",16,12,NA,NA,"never",16,NA,0,"Yes","2016 - 2019"
"WATTS BRANCH LOWER","PCB_TOTAL","","",3,NA,NA,NA,"never",3,NA,0,"Yes","2013 - 2016"
"WATTS BRANCH UPPER","PCB_TOTAL","","",5,5,2021,5,"2021",5,2021,0,"Yes","2018 - 2021"
"ANACOSTIA LOWER","ZINC","","",131,80,2021,98,"2021",0,NA,NA,NA,NA
"ANACOSTIA UPPER","ZINC","","",179,74,2019,140,"2019",0,NA,NA,NA,NA
"BATTERY KEMBLE CREEK","ZINC","","",28,NA,2013,10,"2013",0,NA,NA,NA,NA
"BROAD BRANCH","ZINC","","",36,26,2021,8,"2021",0,NA,NA,NA,NA
"C&O CANAL","ZINC","","",46,NA,2002,13,"1995",0,NA,NA,NA,NA
"DALECARLIA TRIBUTARY","ZINC","","",24,NA,2002,7,"2001",0,NA,NA,NA,NA
"DUMBARTON OAKS","ZINC","","",37,26,2021,22,"2021",0,NA,NA,NA,NA
"FENWICK BRANCH","ZINC","","",11,NA,2002,2,"2001",0,NA,NA,NA,NA
"FORT CHAPLIN TRIBUTARY","ZINC","","",33,6,2019,26,"2019",0,NA,NA,NA,NA
"FORT DAVIS TRIBUTARY","ZINC","","",36,6,2019,33,"2019",0,NA,NA,NA,NA
"FORT DUPONT TRIBUTARY","ZINC","","",50,32,2021,44,"2021",0,NA,NA,NA,NA
"FORT STANTON TRIBUTARY","ZINC","","",63,32,2021,48,"2021",0,NA,NA,NA,NA
"FOUNDRY BRANCH","ZINC","","",12,NA,2013,12,"2013",0,NA,NA,NA,NA
"HICKEY RUN","ZINC","","",178,103,2021,156,"2021",0,NA,NA,NA,NA
"KINGMAN LAKE","ZINC","","",90,30,2019,80,"2019",0,NA,NA,NA,NA
"KLINGLE VALLEY","ZINC","","",9,NA,2002,0,"never",0,NA,NA,NA,NA
"LUZON BRANCH","ZINC","","",8,NA,2002,3,"2002",0,NA,NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","ZINC","","",36,26,2021,10,"2021",0,NA,NA,NA,NA
"NASH RUN","ZINC","","",23,6,2019,21,"2019",0,NA,NA,NA,NA
"NORMANSTONE CREEK","ZINC","","",10,NA,2002,0,"never",0,NA,NA,NA,NA
"OXON RUN","ZINC","","",22,NA,2013,15,"2013",0,NA,NA,NA,NA
"PINEHURST BRANCH","ZINC","","",10,NA,2002,1,"2001",0,NA,NA,NA,NA
"PINEY BRANCH","ZINC","","",12,NA,2013,3,"2013",0,NA,NA,NA,NA
"POPE BRANCH","ZINC","","",9,2,2017,4,"2017",0,NA,NA,NA,NA
"PORTAL BRANCH","ZINC","","",10,NA,2002,6,"2002",0,NA,NA,NA,NA
"POTOMAC LOWER","ZINC","","",121,26,2021,34,"2021",0,NA,NA,NA,NA
"POTOMAC MIDDLE","ZINC","","",66,26,2021,16,"2021",0,NA,NA,NA,NA
"POTOMAC UPPER","ZINC","","",43,26,2021,13,"2021",0,NA,NA,NA,NA
"ROCK CREEK LOWER","ZINC","","",56,26,2021,24,"2021",0,NA,NA,NA,NA
"ROCK CREEK UPPER","ZINC","","",187,107,2021,80,"2021",0,NA,NA,NA,NA
"SOAPSTONE CREEK","ZINC","","",10,NA,2002,1,"2001",0,NA,NA,NA,NA
"TEXAS AVENUE TRIBUTARY","ZINC","","",33,6,2019,31,"2019",0,NA,NA,NA,NA
"TIDAL BASIN","ZINC","","",33,NA,2002,13,"2000",0,NA,NA,NA,NA
"WASHINGTON SHIP CHANNEL","ZINC","","",58,24,2016,35,"2016",0,NA,NA,NA,NA
"WATTS BRANCH LOWER","ZINC","","",29,6,2017,20,"2017",0,NA,NA,NA,NA
"WATTS BRANCH UPPER","ZINC","","",222,126,2021,186,"2021",0,NA,NA,NA,NA
"ANACOSTIA LOWER","LEAD","","",98,74,2021,87,"2021",0,NA,NA,NA,NA
"ANACOSTIA UPPER","LEAD","","",74,36,2016,68,"2016",0,NA,NA,NA,NA
"BATTERY KEMBLE CREEK","LEAD","","",2,NA,2013,2,"2013",0,NA,NA,NA,NA
"BROAD BRANCH","LEAD","","",26,26,2021,13,"2021",0,NA,NA,NA,NA
"C&O CANAL","LEAD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DALECARLIA TRIBUTARY","LEAD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DUMBARTON OAKS","LEAD","","",26,26,2021,14,"2021",0,NA,NA,NA,NA
"FENWICK BRANCH","LEAD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FORT CHAPLIN TRIBUTARY","LEAD","","",6,NA,2014,6,"2014",0,NA,NA,NA,NA
"FORT DAVIS TRIBUTARY","LEAD","","",6,NA,2014,6,"2014",0,NA,NA,NA,NA
"FORT DUPONT TRIBUTARY","LEAD","","",32,26,2021,23,"2021",0,NA,NA,NA,NA
"FORT STANTON TRIBUTARY","LEAD","","",34,26,2021,22,"2021",0,NA,NA,NA,NA
"FOUNDRY BRANCH","LEAD","","",4,NA,2013,4,"2013",0,NA,NA,NA,NA
"HICKEY RUN","LEAD","","",151,103,2021,146,"2021",0,NA,NA,NA,NA
"KINGMAN LAKE","LEAD","","",44,24,2016,40,"2016",0,NA,NA,NA,NA
"KLINGLE VALLEY","LEAD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LUZON BRANCH","LEAD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MELVIN HAZEN VALLEY BRANCH","LEAD","","",26,26,2021,14,"2021",0,NA,NA,NA,NA
"NASH RUN","LEAD","","",8,NA,2014,8,"2014",0,NA,NA,NA,NA
"NORMANSTONE CREEK","LEAD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OXON RUN","LEAD","","",2,NA,2013,2,"2013",0,NA,NA,NA,NA
"PINEHURST BRANCH","LEAD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PINEY BRANCH","LEAD","","",2,NA,2013,2,"2013",0,NA,NA,NA,NA
"POPE BRANCH","LEAD","","",2,2,2017,2,"2017",0,NA,NA,NA,NA
"PORTAL BRANCH","LEAD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"POTOMAC LOWER","LEAD","","",26,26,2021,18,"2021",0,NA,NA,NA,NA
"POTOMAC MIDDLE","LEAD","","",26,26,2021,16,"2021",0,NA,NA,NA,NA
"POTOMAC UPPER","LEAD","","",26,26,2021,15,"2021",0,NA,NA,NA,NA
"ROCK CREEK LOWER","LEAD","","",26,26,2021,18,"2021",0,NA,NA,NA,NA
"ROCK CREEK UPPER","LEAD","","",155,107,2021,148,"2021",0,NA,NA,NA,NA
"SOAPSTONE CREEK","LEAD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEXAS AVENUE TRIBUTARY","LEAD","","",6,NA,2014,5,"2014",0,NA,NA,NA,NA
"TIDAL BASIN","LEAD","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WASHINGTON SHIP CHANNEL","LEAD","","",32,24,2016,24,"2016",0,NA,NA,NA,NA
"WATTS BRANCH LOWER","LEAD","","",6,6,2017,5,"2017",0,NA,NA,NA,NA
"WATTS BRANCH UPPER","LEAD","","",172,126,2021,144,"2021",0,NA,NA,NA,NA
